key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
080000,Neukoelln,Neukölln,Neukoelln,Neukoelln-Total,Neukölln-Total,2013,44822,752,411,4079,1191,1498,19538,558,3332,1558,1163,251,102,4313,660,1635,10506,,,,,,,,,,,,,,,,,,,
081001,Schillerpromenade,Schillerpromenade,Neukölln,Neukoelln,Neukölln,2013,5833,131,73,646,218,198,2116,37,273,194,140,31,12,534,123,842,1564,,,,,,,,,,,,,,,,,,,
081002,Neukoellner Mitte/Zentrum,Neuköllner Mitte/Zentrum,Neukölln,Neukoelln,Neukölln,2013,9124,125,64,798,227,239,4297,55,408,219,175,39,19,609,121,187,1966,,,,,,,,,,,,,,,,,,,
081003,Reuterstrasse,Reuterstraße,Neukölln,Neukoelln,Neukölln,2013,5681,93,45,472,170,159,2533,61,221,276,151,26,14,528,111,204,1221,,,,,,,,,,,,,,,,,,,
081004,Rixdorf,Rixdorf,Neukölln,Neukoelln,Neukölln,2013,5117,110,58,557,161,185,2158,44,330,261,148,30,15,487,87,107,1435,,,,,,,,,,,,,,,,,,,
081005,Koellnische Heide,Köllnische Heide,Neukölln,Neukoelln,Neukölln,2013,2924,28,14,224,66,123,1274,54,301,32,44,21,8,497,44,22,643,,,,,,,,,,,,,,,,,,,
082006,Britz Nord,Britz Nord,Britz/Buckow,Neukoelln,Neukölln,2013,2348,29,18,227,75,85,1023,38,295,59,67,20,7,181,13,30,645,,,,,,,,,,,,,,,,,,,
082007,Britz,Britz,Britz/Buckow,Neukoelln,Neukölln,2013,2329,41,24,184,36,94,989,56,275,87,91,19,8,205,24,17,485,,,,,,,,,,,,,,,,,,,
082008,Buckow,Buckow,Britz/Buckow,Neukoelln,Neukölln,2013,1554,23,11,127,34,61,663,24,204,36,93,10,3,205,27,19,422,,,,,,,,,,,,,,,,,,,
083009,Gropiusstadt West,Gropiusstadt West,Gropiusstadt,Neukoelln,Neukölln,2013,2843,49,26,132,36,62,1344,22,121,105,46,17,8,343,45,16,471,,,,,,,,,,,,,,,,,,,
083010,Gropiusstadt Ost,Gropiusstadt Ost,Gropiusstadt,Neukoelln,Neukölln,2013,1019,21,5,131,28,50,401,21,100,54,26,10,3,121,9,6,332,,,,,,,,,,,,,,,,,,,
084011,Buckow Nord,Buckow Nord,Buckow Nord/Rudow,Neukoelln,Neukölln,2013,969,10,2,87,19,38,450,12,110,25,28,13,1,86,5,5,211,,,,,,,,,,,,,,,,,,,
084012,Rudow,Rudow,Buckow Nord/Rudow,Neukoelln,Neukölln,2013,2603,30,17,210,67,91,1273,109,414,137,153,8,3,253,21,13,517,,,,,,,,,,,,,,,,,,,
090000,Treptow-Koepenick,Treptow-Köpenick,Treptow-Koepenick,Treptow-Koepenick-Total,Treptow-Köpenick-Total,2013,23394,209,109,2009,435,775,10769,500,2236,1923,451,171,76,2822,827,342,4656,,,,,,,,,,,,,,,,,,,
091001,Alt-Treptow,Alt-Treptow,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2013,2027,38,23,128,32,31,1081,19,96,223,42,2,1,158,55,54,326,,,,,,,,,,,,,,,,,,,
091002,Plaenterwald,Plänterwald,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2013,1002,10,6,76,15,23,548,22,174,75,32,6,1,123,15,4,223,,,,,,,,,,,,,,,,,,,
091003,Baumschulenweg,Baumschulenweg,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2013,1386,20,11,93,20,55,641,32,182,98,47,8,3,155,46,17,291,,,,,,,,,,,,,,,,,,,
091004,Johannisthal,Johannisthal,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2013,1393,10,3,92,16,52,602,57,152,81,45,11,6,151,35,16,233,,,,,,,,,,,,,,,,,,,
092005,Oberschoeneweide,Oberschöneweide,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2013,2406,20,12,329,76,91,975,60,146,117,27,10,5,339,122,38,655,,,,,,,,,,,,,,,,,,,
092006,Niederschoeneweide,Niederschöneweide,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2013,2026,13,4,140,39,43,914,22,84,124,10,9,5,264,145,27,268,,,,,,,,,,,,,,,,,,,
092007,Adlershof,Adlershof,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2013,1850,19,12,110,33,51,913,28,127,200,18,5,1,141,31,14,265,,,,,,,,,,,,,,,,,,,
092008,Koellnische Vorstadt/Spindlersfeld,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2013,1001,10,5,140,34,39,314,19,50,73,13,20,14,197,61,24,308,,,,,,,,,,,,,,,,,,,
093009,Altglienicke,Altglienicke,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2013,1336,7,3,154,30,71,596,46,203,93,46,13,3,117,19,21,314,,,,,,,,,,,,,,,,,,,
093010,Bohnsdorf,Bohnsdorf,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2013,759,4,1,64,9,28,332,21,76,39,28,5,3,107,29,12,129,,,,,,,,,,,,,,,,,,,
093011,Gruenau,Grünau,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2013,492,2,0,24,6,12,229,15,40,72,15,2,1,76,39,7,53,,,,,,,,,,,,,,,,,,,
093012,Schmoeckwitz,Schmöckwitz,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2013,306,1,0,21,3,11,157,4,78,3,13,2,2,20,0,0,38,,,,,,,,,,,,,,,,,,,
094013,Koepenick Sued,Köpenick Süd,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2013,492,0,0,45,6,19,194,10,76,24,6,10,2,90,19,5,107,,,,,,,,,,,,,,,,,,,
094014,Allende-Viertel,Allende-Viertel,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2013,614,4,2,60,4,20,338,20,40,80,6,6,1,62,16,5,153,,,,,,,,,,,,,,,,,,,
094015,Altstadt Koepenick,Altstadt Köpenick,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2013,529,3,0,78,12,24,194,7,23,59,9,3,1,78,14,6,171,,,,,,,,,,,,,,,,,,,
