key,neighborhood,area,year,crime_category,crime_count,rank
23810,Baumschulenweg,Treptow-Köpenick 1,2015,neighborhood_offence,348,2.0
11330,Baumschulenweg,Treptow-Köpenick 1,2015,theft_parts_motor_vehicles,155,3.0
8365,Baumschulenweg,Treptow-Köpenick 1,2016,theft_total,927,1.0
23965,Baumschulenweg,Treptow-Köpenick 1,2016,neighborhood_offence,370,2.0
13045,Baumschulenweg,Treptow-Köpenick 1,2016,bike_theft,172,3.0
8520,Baumschulenweg,Treptow-Köpenick 1,2017,theft_total,893,1.0
24120,Baumschulenweg,Treptow-Köpenick 1,2017,neighborhood_offence,336,2.0
19440,Baumschulenweg,Treptow-Köpenick 1,2017,prop_damage_total,181,3.0
8675,Baumschulenweg,Treptow-Köpenick 1,2018,theft_total,831,1.0
24275,Baumschulenweg,Treptow-Köpenick 1,2018,neighborhood_offence,384,2.0
19595,Baumschulenweg,Treptow-Köpenick 1,2018,prop_damage_total,167,3.0
8830,Baumschulenweg,Treptow-Köpenick 1,2019,theft_total,786,1.0
24430,Baumschulenweg,Treptow-Köpenick 1,2019,neighborhood_offence,310,2.0
19750,Baumschulenweg,Treptow-Köpenick 1,2019,prop_damage_total,139,3.0
8985,Baumschulenweg,Treptow-Köpenick 1,2020,theft_total,665,1.0
24585,Baumschulenweg,Treptow-Köpenick 1,2020,neighborhood_offence,417,2.0
19905,Baumschulenweg,Treptow-Köpenick 1,2020,prop_damage_total,189,3.0
9140,Baumschulenweg,Treptow-Köpenick 1,2021,theft_total,684,1.0
24740,Baumschulenweg,Treptow-Köpenick 1,2021,neighborhood_offence,351,2.0
4460,Baumschulenweg,Treptow-Köpenick 1,2021,physical_injuries_total,166,3.0
9295,Baumschulenweg,Treptow-Köpenick 1,2022,theft_total,795,1.0
24895,Baumschulenweg,Treptow-Köpenick 1,2022,neighborhood_offence,391,2.0
20215,Baumschulenweg,Treptow-Köpenick 1,2022,prop_damage_total,182,3.0
9350,Berlin (PKS gesamt),Berlin,2013,theft_total,226279,1.0
